"","Type","Region","City.Town.Ward.Village.code","Prefecture","City.Town.Ward.Village","Area","Nearest.station.Name","Nearest.station.Distance.minute.","Layout","Transaction.price.Unit.price.m.2.","Land.shape","Frontage","Total.floor.area.m.2.","Year.of.construction","Building.structure","Use","Purpose.of.Use","Frontage.road.Direction","Frontage.road.Classification","Frontage.road.Breadth.m.","City.Planning","Maximus.Floor.area.Ratio...","quarter.1","Year","Age","IsNew","Stationgroup","Areagroup"
"1","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Mitanicho","Busshozan",60,"No_information",130000,"Semi-square Shaped",14,110,2012,"W","House","No_information","Southwest","Private Road",6.2,"Non-divided City Planning Area",100,"1st",2012,0,1,"3","2"
"2","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Hayashicho","Motoyama (Takamatsu)",25,"No_information",88888.8888888889,"Semi-rectangular Shaped",18,200,1990,"W","House","No_information","South","City Road",6,"Category II Exclusively Medium-high Residential Zone",200,"4th",2020,30,0,"3","2"
"3","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Sanjocho","Sanjo (Takamatsu)",9,"4LDK",275000,"No_information",0,0,2007,"RC","House","House","No_information","No_information",0,"Neighborhood Commercial Zone",300,"1st",2016,9,0,"4","1"
"4","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ichinomiyacho","Ichinomiya",20,"No_information",80000,"Semi-trapezoidal Shaped",6.3,90,2019,"W","House","House","North","City Road",5,"Non-divided City Planning Area",100,"1st",2019,0,1,"2","1"
"5","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Yashimanishimachi","Katamoto",60,"No_information",130434.782608696,"Trapezoidal Shaped",10,95,1999,"W","House","No_information","West","City Road",5.4,"Category I Exclusively Medium-high Residential Zone",200,"1st",2013,14,0,"3","2"
"6","Residential Land(Land and Building)","Residential Area","37341","Kagawa Prefecture","Miki Town,Kita County","Oaza Shimotakaoka","Shirayama (Takamatsu)",7,"No_information",86486.4864864865,"Semi-trapezoidal Shaped",13,140,2000,"W","House","House","South","Road",4.8,"Non-divided City Planning Area",200,"1st",2018,18,0,"2","1"
"7","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kagawachoono","Ichinomiya",60,"No_information",61600,"Semi-trapezoidal Shaped",8,100,2000,"W","House","No_information","North","City Road",4,"Non-divided City Planning Area",200,"3rd",2009,9,0,"2","1"
"8","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Hayashicho","Mizuta",60,"No_information",55000,"Irregular Shaped",0,730,2005,"RC","House","No_information","Southwest","City Road",5,"Non-divided City Planning Area",200,"1st",2010,5,0,"3","2"
"9","Pre-owned Condominiums, etc.","No_information","37202","Kagawa Prefecture","Marugame City","Joseicho","Marugame",11,"4LDK",178947.368421053,"No_information",0,0,1935,"RC","House","House","No_information","No_information",0,"Neighborhood Commercial Zone",300,"3rd",2015,80,0,"2","2"
"10","Pre-owned Condominiums, etc.","No_information","37201","Kagawa Prefecture","Takamatsu City","Hananomiyacho","Ritsurinkoen",8,"1LDK",125000,"No_information",0,0,1985,"RC","House","House","No_information","No_information",0,"Neighborhood Commercial Zone",300,"3rd",2020,35,0,"4","2"
