"","Type","Region","City.Town.Ward.Village.code","Prefecture","City.Town.Ward.Village","Area","Nearest.station.Name","Nearest.station.Distance.minute.","Layout","Area.m.2.","Transaction.price.Unit.price.m.2.","Land.shape","Frontage","Total.floor.area.m.2.","Year.of.construction","Building.structure","Use","Purpose.of.Use","Frontage.road.Direction","Frontage.road.Classification","Frontage.road.Breadth.m.","City.Planning","Maximus.Building.Coverage.Ratio...","Maximus.Floor.area.Ratio...","quarter.1","Year"
"8259","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Motoyamacho","Motoyama (Takamatsu)",16,NA,230,91304.347826087,"Semi-square Shaped",15,95,1935,"W","House",NA,"West","Private Road",6,"Non-divided City Planning Area",60,200,"4th",2008
"6201","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Murechomure","Yakuri",17,NA,190,57894.7368421053,"Semi-rectangular Shaped",13,115,1935,"W","House",NA,"North","City Road",6,"Category I Residential Zone",60,200,"2nd",2012
"2982","Residential Land(Land and Building)","Residential Area","37324","Kagawa Prefecture","Shodoshima Town,Shozu County","Ikeda","No_station",NA,NA,470,17446.8085106383,"Irregular Shaped",18,NA,1935,"W","House","House","Northeast","Town Road",3,"Outside City Planning Area",NA,NA,"4th",2020
"6178","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Mimayacho","Kinashi",25,NA,240,17083.3333333333,"Semi-rectangular Shaped",11,100,1935,"W","House",NA,"North","City Road",3.3,"Non-divided City Planning Area",60,100,"3rd",2012
"6735","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Tsuruichicho","Kozai",4,"4LDK",95,136842.105263158,NA,NA,NA,1935,"SRC","House",NA,NA,NA,0,"Quasi-industrial Zone",60,200,"4th",2013
"5858","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kozaihommachi","Kozai",19,NA,65,44615.3846153846,"Semi-rectangular Shaped",5,55,1935,"W","House",NA,"West","Private Road",4,"Category I Residential Zone",60,200,"4th",2012
"1836","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Yashimanishimachi","Katamoto",9,NA,105,92380.9523809524,"Rectangular Shaped",8,110,1935,"W","House","House","South","City Road",4.5,"Category I Exclusively Medium-high Residential Zone",60,200,"1st",2019
"2571","Residential Land(Land and Building)","Residential Area","37205","Kagawa Prefecture","Kan-onji City","Sakamotocho","Kan-onji (Kagawa)",13,NA,150,17333.3333333333,"Semi-rectangular Shaped",9,110,1935,"W","House","Other","West","Private Road",4,"Quasi-industrial Zone",60,200,"1st",2019
"3649","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Yashimanishimachi","Katamoto",14,NA,115,35652.1739130435,"Rectangular Shaped",7,75,1935,"LS","House",NA,"South","City Road",6,"Category I Exclusively Medium-high Residential Zone",60,200,"1st",2014
"2428","Residential Land(Land and Building)","Residential Area","37203","Kagawa Prefecture","Sakaide City","Fuchucho","Sanukifuchu",14,NA,490,6122.44897959184,"Semi-square Shaped",23,160,1935,"W","House","House","Southeast","Agricultural Road",0,"Non-divided City Planning Area",70,200,"1st",2019
"6572","Residential Land(Land and Building)","Residential Area","37322","Kagawa Prefecture","Tonosho Town,Shozu County","(No Address)","No_station",NA,NA,125,17600,"Irregular Shaped",8.7,NA,1935,"W","House",NA,"Southeast","Town Road",4,"Non-divided City Planning Area",70,200,"4th",2012
"5219","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Kokubunjichoshimmyo","Kokubu (Kagawa)",60,NA,175,74285.7142857143,"Rectangular Shaped",10.5,100,1935,"W","House","House","Southwest","City Road",4.8,"Non-divided City Planning Area",60,100,"1st",2015
"5799","Residential Land(Land and Building)","Commercial Area","37201","Kagawa Prefecture","Takamatsu City","Kawaramachi","Kawaramachi",5,NA,30,226666.666666667,"Rectangular Shaped",4,100,1935,"S","House",NA,"East","City Road",6,"Commercial Zone",80,600,"1st",2012
"4797","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Marugamemachi","Kawaramachi",7,"2LDK",75,306666.666666667,NA,NA,NA,1935,"SRC","House",NA,NA,NA,0,"Commercial Zone",80,600,"2nd",2011
"3092","Residential Land(Land and Building)","Residential Area","37364","Kagawa Prefecture","Naoshima Town,Kagawa County","(No Address)","No_station",NA,NA,590,13559.3220338983,"Irregular Shaped",32,95,1935,"W","House","House","North","Town Road",3.3,"Outside City Planning Area",NA,NA,"3rd",2020
"6886","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Rokujocho","Mizuta",16,NA,100,45000,"Semi-rectangular Shaped",10,80,1935,"W","House",NA,"North","City Road",7,"Non-divided City Planning Area",60,100,"1st",2013
"1993","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Iinochohigashibun","Utazu",90,NA,60,15000,"Semi-square Shaped",8.5,60,1935,"LS","House","Other","Northwest","City Road",4,"Non-divided City Planning Area",70,200,"3rd",2016
"6946","Residential Land(Land and Building)","Residential Area","37202","Kagawa Prefecture","Marugame City","Nishihommachi","Marugame",9,NA,360,15555.5555555556,"Semi-rectangular Shaped",16.5,85,1935,"W","House",NA,"Southeast","Private Road",4,"Category I Residential Zone",60,200,"2nd",2013
"1926","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Ritsurincho","Ritsurinkoen",5,NA,190,194736.842105263,"Semi-shaped",NA,125,1935,"W","House","House","West","Road",6,"Commercial Zone",80,400,"2nd",2017
