"","Type","Region","City.Town.Ward.Village.code","Prefecture","City.Town.Ward.Village","Area","Nearest.station.Name","Nearest.station.Distance.minute.","Layout","Area.m.2.","Transaction.price.Unit.price.m.2.","Land.shape","Frontage","Total.floor.area.m.2.","Year.of.construction","Building.structure","Use","Purpose.of.Use","Frontage.road.Direction","Frontage.road.Classification","Frontage.road.Breadth.m.","City.Planning","Maximus.Building.Coverage.Ratio...","Maximus.Floor.area.Ratio...","quarter.1","Year"
"1","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Akanecho","Showacho (Kagawa)",10,"3DK",55,1e+05,NA,NA,NA,1935,"SRC","House","House",NA,NA,0,"Quasi-industrial Zone",60,200,"4th",2020
"2","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Akanecho","Showacho (Kagawa)",14,"3LDK",70,118571.428571429,NA,NA,NA,1935,"RC","House","House",NA,NA,0,"Quasi-industrial Zone",60,200,"4th",2020
"3","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Akanecho","Showacho (Kagawa)",13,"3LDK",60,108333.333333333,NA,NA,NA,1935,"SRC","House","House",NA,NA,0,"Quasi-industrial Zone",60,200,"3rd",2020
"4","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Akanecho","Showacho (Kagawa)",13,"2DK",40,160000,NA,NA,NA,1935,"SRC","House","House",NA,NA,0,"Quasi-industrial Zone",60,200,"1st",2019
"5","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Akanecho","Showacho (Kagawa)",10,"2DK",55,114545.454545455,NA,NA,NA,1935,"SRC","House","House",NA,NA,0,"Quasi-industrial Zone",60,200,"4th",2018
"6","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Akanecho","Showacho (Kagawa)",10,"3LDK",85,152941.176470588,NA,NA,NA,1935,"SRC","House","House",NA,NA,0,"Quasi-industrial Zone",60,200,"4th",2018
"7","Residential Land(Land and Building)","Residential Area","37201","Kagawa Prefecture","Takamatsu City","Akanecho","Showacho (Kagawa)",12,NA,140,60714.2857142857,"Square Shaped",11.5,95,1935,"LS","House","House","South","City Road",4.5,"Quasi-industrial Zone",60,200,"3rd",2018
"8","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Akanecho","Showacho (Kagawa)",13,"3LDK",60,125000,NA,NA,NA,1935,"SRC","House","House",NA,NA,0,"Quasi-industrial Zone",60,200,"3rd",2018
"9","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Akanecho","Showacho (Kagawa)",10,"4LDK",85,70588.2352941177,NA,NA,NA,1935,"SRC","House","House",NA,NA,0,"Quasi-industrial Zone",60,200,"2nd",2018
"10","Pre-owned Condominiums, etc.",NA,"37201","Kagawa Prefecture","Takamatsu City","Akanecho","Showacho (Kagawa)",14,"3LDK",65,1e+05,NA,NA,NA,1935,"RC","House","House",NA,NA,0,"Quasi-industrial Zone",60,200,"4th",2017
